ID,Date,Description,Amount
164,2013-05-30,euismod scelerisque quam,8198.79
165,2014-10-17,donec pharetra magna,16210.96
166,2014-05-08,suspendisse potenti nullam,17450.33
167,2012-11-14,magna at nunc,13449.78
168,2012-07-09,sapien cum sociis,14132.76
169,2014-04-14,blandit lacinia erat,19302.69
170,2014-05-09,sed nisl nunc,15643.59
171,2012-10-22,habitasse platea dictumst,11210.86
172,2013-07-26,semper sapien a,5688.12
173,2013-01-11,dis parturient montes,15086.27
174,2013-09-29,nisl venenatis lacinia,13780.72
175,2014-03-08,turpis sed ante,11741.92
176,2013-05-27,vel lectus in,17762.35
177,2012-04-05,rutrum ac lobortis,3091.62
178,2014-07-06,gravida sem praesent,5738.78
179,2013-02-11,in faucibus orci,12069.76
180,2013-12-24,odio donec vitae,11451.72
181,2014-12-29,nisl aenean lectus,13712.33
182,2012-11-19,eu tincidunt in,6227.7
183,2014-09-30,non mi integer,14592.91
184,2014-04-17,ipsum primis in,8277.97
185,2012-11-18,lacus at velit,15838.98
186,2013-01-31,hendrerit at vulputate,19231.6
187,2012-05-08,natoque penatibus et,13529.85
188,2013-11-17,duis consequat dui,11577.64
189,2013-10-26,sodales scelerisque mauris,9296.24
190,2014-01-30,lobortis vel dapibus,12170.66
191,2012-06-10,vel dapibus at,3289.33
192,2012-05-30,amet consectetuer adipiscing,18519.66
193,2014-12-29,ligula pellentesque ultrices,6856.31
194,2013-07-05,sociis natoque penatibus,15875.82
195,2012-07-27,in magna bibendum,8161.11
196,2012-06-05,non velit donec,287.61
197,2013-03-29,nisl nunc rhoncus,19093.57
198,2013-09-15,sollicitudin mi sit,16678.36
199,2012-06-21,luctus et ultrices,18361.59
200,2013-06-24,praesent blandit lacinia,11241.41
201,2014-01-01,orci pede venenatis,13792.08
202,2014-08-09,scelerisque quam turpis,14127.22
203,2014-03-07,quam pede lobortis,16218.12
204,2014-04-30,duis faucibus accumsan,494.4
205,2014-04-03,potenti in eleifend,5008.67
206,2013-09-29,nisl nunc rhoncus,18907.26
207,2013-02-22,cursus urna ut,2137.38
208,2014-09-13,mattis nibh ligula,15692.21
209,2014-09-04,nisl duis ac,3221.35
210,2014-01-07,faucibus orci luctus,18838.17
211,2012-11-08,id mauris vulputate,15105.81
212,2012-05-11,ut tellus nulla,14739.08
213,2012-02-02,nulla tellus in,18828.1
214,2014-07-28,magnis dis parturient,17106.06
215,2014-02-05,sapien cursus vestibulum,6696.93
216,2013-07-02,in hac habitasse,18383.32
217,2012-10-20,quis justo maecenas,18480.69
218,2012-02-10,ligula sit amet,12607.34
219,2014-05-22,morbi vel lectus,13817.59
220,2013-12-18,sapien cursus vestibulum,13219.98
221,2014-02-13,suspendisse potenti cras,4052.02
222,2013-04-25,quam pede lobortis,1535.73
223,2013-09-27,vulputate elementum nullam,12178.52
224,2012-08-22,suscipit a feugiat,3256.33
225,2013-12-14,et ultrices posuere,17486.02
226,2013-10-05,sed vestibulum sit,4979.93
227,2014-04-08,quis justo maecenas,15518.67
228,2014-09-10,amet cursus id,1813.33
229,2014-02-28,duis aliquam convallis,1815.37
230,2012-04-11,pede ullamcorper augue,13392.35
231,2013-07-26,rhoncus aliquam lacus,4.03
232,2012-02-22,vestibulum ante ipsum,16490.21
233,2012-12-30,nec nisi vulputate,5520.66
234,2014-11-22,vel augue vestibulum,5379.98
235,2012-10-03,at dolor quis,10400.43
236,2014-04-03,maecenas ut massa,9807.64
237,2013-02-06,interdum mauris ullamcorper,13699.87
238,2013-11-02,amet sem fusce,764.41
239,2014-06-13,nec euismod scelerisque,1723.38
240,2013-12-31,vehicula consequat morbi,5677.42
241,2014-07-02,elit proin interdum,455.98
242,2013-06-12,luctus et ultrices,16208.11
243,2012-06-06,neque vestibulum eget,15852.12
244,2014-06-23,eu orci mauris,10571.03
245,2012-09-02,porta volutpat erat,15871.44
246,2012-06-26,aliquam quis turpis,12767.83
247,2012-10-14,aenean fermentum donec,2023.75
248,2013-03-12,ut odio cras,7065.69
249,2014-08-27,ut odio cras,10070.77
250,2013-11-27,lobortis est phasellus,9540.73
251,2013-11-27,parturient montes nascetur,17719.39
252,2014-11-20,aenean auctor gravida,16687.67
253,2014-07-22,volutpat quam pede,6892.25
254,2012-11-26,vestibulum eget vulputate,7489.46
255,2013-03-22,non interdum in,4894.72
256,2015-01-17,at lorem integer,15008.15
257,2014-05-20,platea dictumst maecenas,9277.04
258,2013-11-20,platea dictumst maecenas,19360.83
259,2014-02-25,lectus pellentesque at,14248.01
260,2014-03-01,cursus id turpis,9586.93
261,2012-03-18,pede libero quis,5232.91
262,2013-11-27,nulla mollis molestie,488.06
