ID,Date,Description,Amount
364,2013-03-06,massa donec dapibus,18174.91
365,2012-04-17,vitae consectetuer eget,16223.55
366,2014-01-04,nulla elit ac,13953.97
367,2014-02-10,faucibus orci luctus,1110.8
368,2014-08-12,orci luctus et,18061.37
369,2012-04-24,pharetra magna ac,17170.95
370,2013-03-10,eu magna vulputate,9012.72
371,2012-11-20,cursus id turpis,2240.31
372,2014-06-07,tortor duis mattis,5725.82
373,2014-02-12,blandit ultrices enim,13234.63
374,2012-08-12,amet cursus id,2659.29
375,2013-10-27,sollicitudin vitae consectetuer,18175.42
376,2012-12-24,ultrices mattis odio,19923.18
377,2013-09-07,lobortis ligula sit,17177.78
378,2013-06-11,mauris enim leo,6887.51
379,2013-12-13,leo rhoncus sed,5974.44
380,2014-03-13,vehicula condimentum curabitur,1444.45
381,2012-10-20,sed vel enim,194.21
382,2012-03-14,dignissim vestibulum vestibulum,16297.38
383,2013-04-26,id nisl venenatis,9854.98
384,2014-10-11,eget massa tempor,6455.68
385,2012-08-29,sapien iaculis congue,17697.43
386,2014-04-02,justo eu massa,19463.0
387,2012-05-17,sapien a libero,15631.89
388,2014-09-01,sed tristique in,1607.99
389,2013-07-28,nunc donec quis,7217.57
390,2012-07-31,nunc donec quis,5964.69
391,2013-06-17,magnis dis parturient,15222.81
392,2014-07-29,nulla ut erat,7618.41
393,2013-02-05,ligula nec sem,3426.91
394,2012-11-23,ligula nec sem,15298.89
395,2014-03-29,nulla integer pede,7939.93
396,2012-12-09,rhoncus aliquet pulvinar,7635.96
397,2012-07-29,pede malesuada in,12393.01
398,2013-12-16,morbi porttitor lorem,9710.73
399,2014-07-28,quisque erat eros,14176.35
400,2014-05-06,faucibus orci luctus,18646.9
401,2014-10-27,diam cras pellentesque,3008.65
402,2013-04-23,in felis eu,9923.67
403,2014-03-02,justo maecenas rhoncus,3086.84
404,2012-03-27,orci luctus et,381.88
405,2012-06-19,faucibus orci luctus,7036.59
406,2013-12-09,pharetra magna ac,4137.85
407,2012-03-24,ut erat curabitur,5860.51
408,2012-02-27,cubilia curae nulla,5640.42
409,2013-03-21,a nibh in,8077.44
410,2012-08-20,volutpat convallis morbi,2408.8
411,2013-04-17,velit eu est,18897.93
412,2012-11-29,semper rutrum nulla,17172.24
413,2013-03-14,eu tincidunt in,3925.13
414,2013-08-15,vestibulum quam sapien,5721.55
415,2012-08-14,vel dapibus at,4116.47
416,2013-01-05,felis eu sapien,6597.19
417,2012-06-23,molestie hendrerit at,6695.64
418,2013-01-16,consequat ut nulla,4373.14
419,2012-11-11,lacinia eget tincidunt,5672.3
420,2013-05-12,nisi volutpat eleifend,4295.17
421,2012-04-06,nulla integer pede,6901.88
422,2014-08-22,interdum venenatis turpis,4990.05
423,2012-09-02,aliquet maecenas leo,19587.28
424,2013-11-08,ultrices aliquet maecenas,18255.64
425,2014-10-12,lectus pellentesque at,15608.18
426,2013-02-23,ridiculus mus vivamus,4119.18
427,2013-01-09,donec dapibus duis,6782.78
428,2013-11-19,sed accumsan felis,17377.32
429,2012-06-14,tempus vivamus in,1552.93
430,2014-11-04,pretium iaculis justo,19174.26
431,2013-02-15,parturient montes nascetur,14388.14
432,2013-09-18,ut odio cras,16874.25
433,2012-10-21,nulla ut erat,8860.56
434,2013-12-29,pulvinar sed nisl,8793.31
435,2014-03-02,molestie sed justo,8033.57
436,2013-07-04,est lacinia nisi,1978.66
437,2015-01-04,diam erat fermentum,6624.4
438,2012-06-09,lacinia aenean sit,8768.39
439,2013-02-26,potenti cras in,9987.28
440,2013-02-19,turpis integer aliquet,18469.56
441,2012-03-09,habitasse platea dictumst,15332.64
442,2012-08-18,sed accumsan felis,11012.4
443,2013-09-14,libero rutrum ac,2709.24
444,2012-08-25,sit amet turpis,9816.78
445,2013-03-11,interdum mauris non,19141.9
446,2014-07-27,ridiculus mus etiam,15459.56
447,2014-07-30,venenatis turpis enim,12885.24
448,2012-06-30,et commodo vulputate,2632.48
449,2012-11-20,iaculis diam erat,16383.45
450,2013-08-16,ultrices phasellus id,19272.03
451,2012-02-02,ac lobortis vel,19651.07
452,2014-02-01,vulputate vitae nisl,9364.84
453,2014-12-12,lobortis est phasellus,8221.13
454,2012-10-26,in quam fringilla,9088.38
455,2012-10-23,morbi non quam,9332.86
456,2013-08-19,mauris lacinia sapien,10068.86
457,2014-05-25,sed magna at,11168.1
458,2013-03-16,nulla ut erat,7995.13
459,2013-05-14,augue quam sollicitudin,14241.41
460,2013-08-23,integer aliquet massa,14166.99
461,2012-04-18,molestie lorem quisque,13377.09
462,2012-07-17,amet lobortis sapien,6701.82
463,2014-04-03,quis turpis sed,6133.67
464,2013-06-10,pellentesque viverra pede,17159.48
465,2014-07-14,in ante vestibulum,12027.12
466,2013-10-09,sem fusce consequat,16171.69
467,2014-01-09,dictumst aliquam augue,3561.35
468,2013-12-29,sagittis nam congue,13540.1
469,2014-03-11,libero quis orci,14285.13
470,2014-12-04,tempus vivamus in,7013.88
471,2013-10-14,metus arcu adipiscing,11848.56
472,2014-09-13,vulputate ut ultrices,4700.49
473,2013-04-22,ac neque duis,15712.44
474,2013-02-24,lectus pellentesque at,18988.41
475,2012-10-09,mauris lacinia sapien,13049.16
476,2012-10-04,consequat varius integer,1644.08
477,2012-03-14,erat quisque erat,2966.66
478,2012-10-26,enim sit amet,9858.28
479,2012-04-16,lacinia aenean sit,10007.35
480,2014-10-01,magnis dis parturient,11751.0
481,2012-06-25,mattis nibh ligula,9314.21
482,2014-10-21,varius integer ac,14183.3
483,2014-10-02,vulputate ut ultrices,17973.3
484,2014-06-12,eros elementum pellentesque,4978.64
485,2014-06-04,cras in purus,15166.54
486,2014-07-21,non mattis pulvinar,18403.88
487,2013-01-31,sapien cum sociis,17372.55
488,2014-03-11,et magnis dis,7648.38
489,2014-05-05,nibh quisque id,8242.51
490,2012-05-29,justo pellentesque viverra,18089.31
491,2012-03-23,odio odio elementum,12943.3
492,2013-03-12,libero quis orci,2054.74
493,2013-07-11,nam tristique tortor,9912.34
494,2013-12-29,rhoncus aliquet pulvinar,16022.78
495,2012-08-05,sodales sed tincidunt,5051.72
496,2012-12-16,dapibus duis at,15527.11
497,2013-12-24,amet sem fusce,805.21
498,2013-04-12,bibendum morbi non,1981.95
499,2014-09-02,sapien dignissim vestibulum,3819.33
500,2013-04-04,donec ut dolor,6720.3
501,2013-03-03,pharetra magna ac,12042.55
502,2014-10-22,ligula vehicula consequat,11256.91
503,2014-07-17,a libero nam,19381.35
504,2013-01-29,suspendisse potenti nullam,996.51
505,2012-07-03,id massa id,14907.92
506,2013-05-29,consequat dui nec,7343.64
507,2015-01-18,elit proin risus,18885.84
508,2013-09-20,vitae nisl aenean,7798.68
509,2013-10-11,tincidunt nulla mollis,6728.67
510,2014-07-28,suspendisse potenti nullam,4457.53
511,2012-04-14,pretium nisl ut,15586.0
512,2014-07-22,congue vivamus metus,14979.37
513,2013-03-04,orci eget orci,9899.81
514,2014-06-05,convallis morbi odio,14102.21
515,2013-07-28,molestie lorem quisque,18150.98
516,2012-07-04,nulla pede ullamcorper,18056.87
517,2013-05-01,morbi porttitor lorem,15801.45
518,2012-08-30,pretium quis lectus,3539.31
519,2013-05-03,vel nisl duis,8967.63
